flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_time,duration_seconds,packet_count,total_bytes,payload_bytes,avg_packet_size,min_ttl,max_ttl,tcp_flags,is_closed
155.133.246.52:443 -> 192.168.1.138:64867 [TCP],155.133.246.52,443,192.168.1.138,64867,TCP,1770744568.645194,0,82,96046,1148,1171.29,56,56,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:64894 -> 104.83.34.182:443 [TCP],192.168.1.138,64894,104.83.34.182,443,TCP,1770744569.658171,0,3,1606,42,535.33,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
104.83.34.182:443 -> 192.168.1.138:64894 [TCP],104.83.34.182,443,192.168.1.138,64894,TCP,1770744569.714876,0,7,7135,98,1019.29,55,55,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:65047 -> 104.83.34.182:443 [TCP],192.168.1.138,65047,104.83.34.182,443,TCP,1770744570.181482,0,4,872,56,218.0,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
104.83.34.182:443 -> 192.168.1.138:65047 [TCP],104.83.34.182,443,192.168.1.138,65047,TCP,1770744570.199142,0,2,2108,28,1054.0,55,55,{<Flag 24 (PA)>},False
192.168.1.138:65087 -> 23.46.85.220:443 [TCP],192.168.1.138,65087,23.46.85.220,443,TCP,1770744570.305522,0,13,4226,182,325.08,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
23.46.85.220:443 -> 192.168.1.138:65087 [TCP],23.46.85.220,443,192.168.1.138,65087,TCP,1770744570.318926,0,14,12018,196,858.43,53,53,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 82 (SAE)>}",False
192.168.1.138:65088 -> 23.46.85.220:443 [TCP],192.168.1.138,65088,23.46.85.220,443,TCP,1770744570.334299,0,7,2382,98,340.29,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
192.168.1.138:65089 -> 23.46.85.220:443 [TCP],192.168.1.138,65089,23.46.85.220,443,TCP,1770744570.335877,0,10,3304,140,330.4,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
23.46.85.220:443 -> 192.168.1.138:65088 [TCP],23.46.85.220,443,192.168.1.138,65088,TCP,1770744570.347799,0,9,4406,126,489.56,53,53,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 82 (SAE)>}",False
23.46.85.220:443 -> 192.168.1.138:65089 [TCP],23.46.85.220,443,192.168.1.138,65089,TCP,1770744570.348764,0,13,7858,182,604.46,53,53,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 82 (SAE)>}",False
192.168.1.138:64895 -> 199.232.35.52:443 [TCP],192.168.1.138,64895,199.232.35.52,443,TCP,1770744570.400208,0,17,1401,238,82.41,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
199.232.35.52:443 -> 192.168.1.138:64895 [TCP],199.232.35.52,443,192.168.1.138,64895,TCP,1770744570.414942,0,67,89088,938,1329.67,58,58,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:65057 -> 151.101.135.52:443 [TCP],192.168.1.138,65057,151.101.135.52,443,TCP,1770744574.274729,0,31,2965,434,95.65,64,64,"{<Flag 24 (PA)>, <Flag 16 (A)>}",False
151.101.135.52:443 -> 192.168.1.138:65057 [TCP],151.101.135.52,443,192.168.1.138,65057,TCP,1770744574.291513,0,108,135403,1512,1253.73,57,57,"{<Flag 16 (A)>, <Flag 24 (PA)>}",False
192.168.1.138:65092 -> 23.46.85.220:443 [TCP],192.168.1.138,65092,23.46.85.220,443,TCP,1770744574.460075,0,65,10768,910,165.66,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
23.46.85.220:443 -> 192.168.1.138:65092 [TCP],23.46.85.220,443,192.168.1.138,65092,TCP,1770744574.473321,0,103,136553,1442,1325.76,53,53,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 82 (SAE)>}",False
192.168.1.138:65093 -> 151.101.135.52:443 [TCP],192.168.1.138,65093,151.101.135.52,443,TCP,1770744575.629974,0,50,6422,700,128.44,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
192.168.1.138:65094 -> 151.101.135.52:443 [TCP],192.168.1.138,65094,151.101.135.52,443,TCP,1770744575.630319,0,134,15238,1876,113.72,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
192.168.1.138:65095 -> 151.101.135.52:443 [TCP],192.168.1.138,65095,151.101.135.52,443,TCP,1770744575.632009,0,204,21515,2856,105.47,64,64,"{<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 194 (SEC)>}",False
